subject_nr,response_time_reproduction,context,exp_dur
1,1297,short,[long_dur]
1,882,short,[short_dur]
1,1051,short,[short_dur]
1,1235,short,[long_dur]
1,1459,short,[long_dur]
1,1022,short,[short_dur]
1,1215,short,[long_dur]
1,1039,short,[long_dur]
1,1338,short,[long_dur]
1,833,short,[short_dur]
1,1120,short,[long_dur]
1,1020,short,[short_dur]
1,848,short,[short_dur]
1,1046,short,[long_dur]
1,976,short,[long_dur]
1,1253,short,[long_dur]
1,1096,short,[long_dur]
1,826,short,[short_dur]
1,517,short,[short_dur]
1,576,short,[long_dur]
1,775,short,[long_dur]
1,729,short,[short_dur]
1,943,short,[long_dur]
1,706,short,[short_dur]
1,722,short,[long_dur]
1,639,short,[short_dur]
1,704,short,[short_dur]
1,719,short,[long_dur]
1,814,short,[long_dur]
1,1048,short,[long_dur]
1,1266,short,[long_dur]
1,1306,short,[long_dur]
1,1372,short,[long_dur]
1,1435,short,[long_dur]
1,1151,short,[short_dur]
1,998,short,[short_dur]
1,801,short,[short_dur]
1,892,short,[long_dur]
1,884,short,[short_dur]
1,798,short,[short_dur]
1,824,short,[long_dur]
1,767,short,[long_dur]
1,731,short,[short_dur]
1,883,short,[short_dur]
1,1228,short,[long_dur]
1,956,short,[short_dur]
1,798,short,[short_dur]
1,752,short,[short_dur]
2,1809,0,[short_dur]
2,1296,0,[long_dur]
2,592,0,[long_dur]
2,702,0,[long_dur]
2,975,0,[short_dur]
2,1051,0,[short_dur]
2,1013,0,[short_dur]
2,1410,0,[short_dur]
2,1698,0,[short_dur]
2,1098,0,[long_dur]
2,1254,0,[short_dur]
2,1098,0,[long_dur]
2,1194,0,[short_dur]
2,908,0,[long_dur]
2,689,0,[long_dur]
2,1043,0,[long_dur]
2,1036,0,[short_dur]
2,1300,0,[short_dur]
2,1286,0,[long_dur]
2,1104,0,[long_dur]
2,940,long,[short_dur]
2,974,long,[short_dur]
2,900,long,[long_dur]
2,885,long,[long_dur]
2,1164,long,[long_dur]
2,1143,long,[short_dur]
2,1067,long,[short_dur]
2,1160,long,[short_dur]
2,1152,long,[long_dur]
2,933,long,[short_dur]
2,832,long,[long_dur]
2,1161,long,[short_dur]
2,1314,long,[long_dur]
2,1264,long,[short_dur]
2,1281,long,[long_dur]
2,947,long,[short_dur]
2,1300,long,[long_dur]
2,1439,long,[long_dur]
2,1165,long,[long_dur]
2,1265,long,[long_dur]
2,949,long,[short_dur]
2,1125,long,[long_dur]
2,485,long,[short_dur]
2,696,long,[short_dur]
2,1228,long,[long_dur]
2,1259,long,[short_dur]
2,1080,long,[long_dur]
2,1144,long,[long_dur]
2,927,long,[short_dur]
2,1202,long,[short_dur]
2,908,long,[short_dur]
2,1019,long,[long_dur]
2,1191,long,[long_dur]
2,721,long,[short_dur]
2,1301,long,[long_dur]
2,1321,long,[short_dur]
2,1046,long,[long_dur]
2,1385,long,[long_dur]
2,1361,long,[short_dur]
2,1359,long,[short_dur]
2,1097,long,[long_dur]
2,1201,long,[short_dur]
2,1029,long,[short_dur]
2,1209,long,[long_dur]
2,1106,long,[long_dur]
2,1458,long,[long_dur]
2,1297,long,[short_dur]
2,1066,long,[short_dur]
2,1118,long,[long_dur]
2,1059,long,[long_dur]
2,1044,long,[long_dur]
2,905,long,[long_dur]
2,1172,long,[long_dur]
2,929,long,[short_dur]
2,872,long,[long_dur]
2,1064,long,[short_dur]
2,838,long,[short_dur]
2,1004,long,[short_dur]
2,882,long,[short_dur]
2,1232,long,[short_dur]
2,859,short,[short_dur]
2,1541,short,[long_dur]
2,954,short,[long_dur]
2,840,short,[short_dur]
2,844,short,[long_dur]
2,1001,short,[long_dur]
2,809,short,[long_dur]
2,839,short,[long_dur]
2,694,short,[short_dur]
2,1000,short,[short_dur]
2,1056,short,[short_dur]
2,578,short,[short_dur]
2,657,short,[short_dur]
2,747,short,[long_dur]
2,844,short,[short_dur]
2,980,short,[long_dur]
2,1045,short,[long_dur]
2,926,short,[short_dur]
2,872,short,[short_dur]
2,705,short,[short_dur]
2,702,short,[short_dur]
2,755,short,[long_dur]
2,931,short,[long_dur]
2,685,short,[long_dur]
2,895,short,[long_dur]
2,910,short,[short_dur]
2,918,short,[short_dur]
2,740,short,[short_dur]
2,772,short,[long_dur]
2,629,short,[long_dur]
2,761,short,[long_dur]
2,1857,short,[long_dur]
2,1689,short,[short_dur]
2,948,short,[short_dur]
2,842,short,[long_dur]
2,1032,short,[long_dur]
2,1207,short,[short_dur]
2,1155,short,[long_dur]
2,864,short,[long_dur]
2,641,short,[short_dur]
2,710,short,[long_dur]
2,1069,short,[long_dur]
2,1027,short,[short_dur]
2,812,short,[long_dur]
2,811,short,[long_dur]
2,1302,short,[short_dur]
2,763,short,[short_dur]
2,1063,short,[short_dur]
2,111,short,[short_dur]
2,1385,short,[short_dur]
2,1599,short,[long_dur]
2,853,short,[short_dur]
2,930,short,[long_dur]
2,1055,short,[short_dur]
2,1017,short,[short_dur]
2,940,short,[short_dur]
2,887,short,[long_dur]
2,781,short,[long_dur]
2,1083,short,[long_dur]
2,1085,short,[short_dur]
3,1209,0,[long_dur]
3,1485,0,[short_dur]
3,1439,0,[short_dur]
3,293,0,[long_dur]
3,1094,0,[short_dur]
3,1441,0,[short_dur]
3,1666,0,[short_dur]
3,345,0,[long_dur]
3,731,0,[long_dur]
3,1052,0,[short_dur]
3,1424,0,[short_dur]
3,475,0,[long_dur]
3,483,0,[long_dur]
3,716,0,[long_dur]
3,1588,0,[short_dur]
3,411,0,[long_dur]
3,430,0,[long_dur]
3,437,0,[long_dur]
3,744,0,[short_dur]
3,1254,0,[short_dur]
3,387,long,[short_dur]
3,623,long,[short_dur]
3,1109,long,[long_dur]
3,557,long,[short_dur]
3,1131,long,[long_dur]
3,846,long,[long_dur]
3,1456,long,[long_dur]
3,1416,long,[long_dur]
3,850,long,[long_dur]
3,665,long,[short_dur]
3,403,long,[long_dur]
3,28,long,[short_dur]
3,124,long,[short_dur]
3,45,long,[long_dur]
3,150,long,[short_dur]
3,772,long,[long_dur]
3,895,long,[short_dur]
3,938,long,[short_dur]
3,1230,long,[long_dur]
3,1025,long,[short_dur]
3,1521,long,[long_dur]
3,1177,long,[long_dur]
3,921,long,[short_dur]
3,552,long,[long_dur]
3,1093,long,[long_dur]
3,1039,long,[short_dur]
3,1194,long,[long_dur]
3,589,long,[short_dur]
3,803,long,[short_dur]
3,783,long,[short_dur]
3,620,long,[long_dur]
